Stadium,Location,No. hosted,Years hosted,URL,Years_relevant
"Mercedes-Benz Superdome, formerly Louisiana Superdome ","New Orleans, Louisiana url:https://en.wikipedia.org/wiki/New_Orleans,_Louisiana",7 (8),"1978, 1981, 1986, 1990, 1997, 2002, 2013, 2025",https://en.wikipedia.org/wiki/Mercedes-Benz_Superdome,"[1997, 2002, 2013, 2025]"
"Hard Rock Stadium, formerly Joe Robbie Stadium, Pro Player Stadium, Dolphin Stadium, and Sun Life Stadium ","Miami Gardens, Florida url:https://en.wikipedia.org/wiki/Miami_Gardens,_Florida",6,"1989, 1995, 1999, 2007, 2010, 2020",https://en.wikipedia.org/wiki/Hard_Rock_Stadium,"[1995, 1999, 2007, 2010, 2020]"
Rose Bowl ,"Pasadena, California url:https://en.wikipedia.org/wiki/Pasadena,_California",5,"1977, 1980, 1983, 1987, 1993",https://en.wikipedia.org/wiki/Rose_Bowl_(stadium),[1993]
"Qualcomm Stadium, formerly Jack Murphy Stadium, now known as SDCCU Stadium ","San Diego, California url:https://en.wikipedia.org/wiki/San_Diego,_California",3,"1988, 1998, 2003",https://en.wikipedia.org/wiki/SDCCU_Stadium,"[1998, 2003]"
Raymond James Stadium ,"Tampa, Florida url:https://en.wikipedia.org/wiki/Tampa,_Florida",2 (3),"2001, 2009, 2021",https://en.wikipedia.org/wiki/Raymond_James_Stadium,"[2001, 2009, 2021]"
"State Farm Stadium, formerly University of Phoenix Stadium ","Glendale, Arizona url:https://en.wikipedia.org/wiki/Glendale,_Arizona",2 (3),"2008, 2015, 2023",https://en.wikipedia.org/wiki/State_Farm_Stadium,"[2008, 2015, 2023]"
Georgia Dome ,"Atlanta, Georgia url:https://en.wikipedia.org/wiki/Atlanta,_Georgia",2,"1994, 2000",https://en.wikipedia.org/wiki/Georgia_Dome,"[1994, 2000]"
"NRG Stadium, formerly Reliant Stadium ","Houston, Texas url:https://en.wikipedia.org/wiki/Houston,_Texas",2,"2004, 2017",https://en.wikipedia.org/wiki/NRG_Stadium,"[2004, 2017]"
Hubert H. Humphrey Metrodome ,"Minneapolis, Minnesota url:https://en.wikipedia.org/wiki/Minneapolis,_Minnesota",1,1992,https://en.wikipedia.org/wiki/Hubert_H._Humphrey_Metrodome,[1992]
Sun Devil Stadium ,"Tempe, Arizona url:https://en.wikipedia.org/wiki/Tempe,_Arizona",1,1996,https://en.wikipedia.org/wiki/Sun_Devil_Stadium,[1996]
"Alltel Stadium, Now TIAA Bank Field, formerly Jacksonville Municipal Stadium and EverBank Field ","Jacksonville, Florida url:https://en.wikipedia.org/wiki/Jacksonville,_Florida",1,2005,https://en.wikipedia.org/wiki/TIAA_Bank_Field,[2005]
Ford Field ,"Detroit, Michigan url:https://en.wikipedia.org/wiki/Detroit,_Michigan",1,2006,https://en.wikipedia.org/wiki/Ford_Field,[2006]
AT&T Stadium ,"Arlington, Texas url:https://en.wikipedia.org/wiki/Arlington,_Texas",1,2011,https://en.wikipedia.org/wiki/AT%26T_Stadium,[2011]
Lucas Oil Stadium ,"Indianapolis, Indiana url:https://en.wikipedia.org/wiki/Indianapolis,_Indiana",1,2012,https://en.wikipedia.org/wiki/Lucas_Oil_Stadium,[2012]
MetLife Stadium ,"East Rutherford, New Jersey url:https://en.wikipedia.org/wiki/East_Rutherford,_New_Jersey",1,2014,https://en.wikipedia.org/wiki/MetLife_Stadium,[2014]
Levi's Stadium ,"Santa Clara, California url:https://en.wikipedia.org/wiki/Santa_Clara,_California",1,2016,https://en.wikipedia.org/wiki/Levi%27s_Stadium,[2016]
U.S. Bank Stadium ,"Minneapolis, Minnesota url:https://en.wikipedia.org/wiki/Minneapolis,_Minnesota",1,2018,https://en.wikipedia.org/wiki/U.S._Bank_Stadium,[2018]
Mercedes-Benz Stadium ,"Atlanta, Georgia url:https://en.wikipedia.org/wiki/Atlanta,_Georgia",1,2019,https://en.wikipedia.org/wiki/Mercedes-Benz_Stadium,[2019]
SoFi Stadium ,"Inglewood, California url:https://en.wikipedia.org/wiki/Inglewood,_California",1,2022,https://en.wikipedia.org/wiki/SoFi_Stadium,[2022]
