Stadium,Surface,Turf
Bills Stadium ,A-Turf Titan (2011–current) AstroPlay (2003–2010) AstroTurf url:https://en.wikipedia.org/wiki/AstroTurf (1973–2002),Turf
Hard Rock Stadium ,Grass,Grass
Gillette Stadium ,FieldTurf (mid-2006–current) Grass (2002–mid-2006),Grass
Gillette Stadium ,FieldTurf (mid-2006–current) Grass (2002–mid-2006),Turf
Foxboro Stadium ,Grass (1991–2001) AstroTurf (197x–1990) Poly-Turf url:https://en.wikipedia.org/wiki/Poly-Turf (1971–197x),Grass
MetLife Stadium ,FieldTurf,Turf
Giants Stadium ,FieldTurf (2003–2010) Grass (2000–2002) AstroTurf (1976–1999),Turf
Giants Stadium ,FieldTurf (2003–2010) Grass (2000–2002) AstroTurf (1976–1999),Grass
M&T Bank Stadium ,Grass (2016–present) Sportexe Momentum Turf (2003–2015) Grass (1998–2002),Grass
M&T Bank Stadium ,Grass (2016–present) Sportexe Momentum Turf (2003–2015) Grass (1998–2002),Turf
Memorial Stadium ,Grass,Grass
Paul Brown Stadium ,Field Turf (2003–present) Grass (2000–2002),Grass
Paul Brown Stadium ,Field Turf (2003–present) Grass (2000–2002),Turf
Cinergy Field ,AstroTurf,Turf
FirstEnergy Stadium ,Grass,Grass
Cleveland Stadium ,Grass,Grass
Heinz Field ,Grass,Grass
Three Rivers Stadium ,AstroTurf (1982–2000) Tartan Turf (1970–1981),Turf
NRG Stadium ,UBU Sports Speed Series S5-M (2016–present) Grass (2002–2015),Grass
Lucas Oil Stadium ,FieldTurf,Turf
RCA Dome ,Field Turf (2005–2008) AstroTurf (1984–2004),Turf
TIAA Bank Field ,Grass,Grass
Nissan Stadium ,Grass,Grass
Vanderbilt Stadium ,AstroTurf,Turf
Liberty Bowl Memorial Stadium ,Grass,Grass
Reliant Astrodome ,AstroTurf url:https://en.wikipedia.org/wiki/AstroTurf,Turf
Empower Field at Mile High ,Grass,Grass
Mile High Stadium ,Grass,Grass
Arrowhead Stadium ,Grass (1994–present) Tartan Turf (1972–1993),Turf
Arrowhead Stadium ,Grass (1994–present) Tartan Turf (1972–1993),Grass
Allegiant Stadium ,Grass,Grass
RingCentral Coliseum ,Grass,Grass
Los Angeles Memorial Coliseum ,Grass,Grass
SoFi Stadium ,Artificial Turf,Turf
Dignity Health Sports Park ,Grass,Grass
SDCCU Stadium ,Grass,Grass
AT&T Stadium ,Matrix artificial turf,Turf
Texas Stadium ,RealGrass (2001–2008) Tartan Turf (1971–1980) AstroTurf (1981–2000),Turf
MetLife Stadium ,Field Turf,Turf
Giants Stadium ,Field Turf (2003–2009) Grass (2000–2002) AstroTurf (1976–1999),Turf
Giants Stadium ,Field Turf (2003–2009) Grass (2000–2002) AstroTurf (1976–1999),Grass
Lincoln Financial Field ,Grass,Grass
Veterans Stadium ,AstroTurf (1971–2000) NexTurf (2001–2002),Turf
FedExField ,Grass,Grass
RFK Stadium ,Grass,Grass
Soldier Field ,Grass,Grass
Memorial Stadium ,AstroPlay,Turf
Soldier Field ,Grass (1988–2001) AstroTurf (1971–1987),Grass
Ford Field ,Field Turf,Turf
Pontiac Silverdome ,AstroTurf,Turf
Lambeau Field ,Grass,Grass
U.S. Bank Stadium ,UBU Sports Speed Series S5-M,Turf
TCF Bank Stadium ,FieldTurf url:https://en.wikipedia.org/wiki/FieldTurf,Turf
Mall of America Field at the Hubert H. Humphrey Metrodome ,UBU-Intensity Series-S5-M Synthetic Turf (2011–2013) Sportexe Momentum Turf (2010) Field Turf (2004–2009) AstroTurf (1987–2003) Superturf (1982–1986),Turf
Mercedes-Benz Stadium ,Artificial turf (2017–present),Turf
Georgia Dome ,Field Turf (2003–2016) AstroTurf (1992–2002),Turf
Bank of America Stadium ,Grass,Grass
Frank Howard Field at Memorial Stadium ,Grass,Grass
Mercedes-Benz Superdome ,Sportexe Momentum Turf (2006–present) AstroPlay (2003–2004) AstroTurf (1975–2003),Turf
Raymond James Stadium ,Grass,Grass
Houlihan's Stadium ,Grass,Grass
State Farm Stadium ,Grass,Grass
Sun Devil Stadium ,Grass,Grass
Edward Jones Dome ,AstroTurf (2005–present) FieldTurf (2005–2010) AstroTurf (1995–2004),Turf
Busch Stadium (II) ,AstroTurf,Turf
Anaheim Stadium ,Grass,Grass
Levi's Stadium ,Grass,Grass
Candlestick Park ,Grass (1979–present) AstroTurf (1971–1978),Grass
CenturyLink Field ,Field Turf,Turf
Husky Stadium ,Field Turf,Turf
Kingdome ,AstroTurf,Turf
